TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.tools.debugger.FindFunction,LINE,0,76,0
org.mozilla.javascript.tools.debugger.FileWindow,LINE,0,82,0
org.mozilla.javascript.tools.debugger.MoreWindows,LINE,0,65,0
org.mozilla.javascript.serialize.ScriptableInputStream,LINE,0,22,0
org.mozilla.javascript.FieldAndMethods,LINE,0,18,0
org.mozilla.javascript.xml.XMLObject,LINE,0,6,0
org.mozilla.javascript.tools.shell.JSConsole,LINE,0.0090909091,110,2
org.mozilla.javascript.tools.debugger.SwingGui,LINE,0.0251572327,477,12
org.mozilla.javascript.NativeDate,LINE,0.0275330396,908,25
org.mozilla.javascript.NativeMath,LINE,0.0350194553,257,9
org.mozilla.javascript.Interpreter,LINE,0.0614780903,1529,107
org.mozilla.javascript.tools.debugger.FileHeader,LINE,0.064516129,93,8
org.mozilla.javascript.optimizer.BodyCodegen,LINE,0.0672985782,2110,146
org.mozilla.javascript.tools.shell.FlexibleCompletor,LINE,0.0833333333,36,4
org.mozilla.javascript.xmlimpl.XMLLibImpl,LINE,0.0898876404,267,24
org.mozilla.javascript.NativeJavaArray,LINE,0.0909090909,55,5
org.mozilla.javascript.VMBridge,LINE,0.1,10,1
org.mozilla.javascript.tools.debugger.Main,LINE,0.1203703704,108,16
org.mozilla.javascript.MemberBox,LINE,0.1338028169,142,13
org.mozilla.javascript.IRFactory,LINE,0.1766513057,1303,264
org.mozilla.javascript.CodeGenerator,LINE,0.1810449575,823,160
org.mozilla.javascript.Context,LINE,0.1947069943,529,419
org.mozilla.javascript.tools.shell.ShellConsole,LINE,0.2296296296,135,34
org.mozilla.javascript.NativeScript,LINE,0.2580645161,62,16
org.mozilla.javascript.Parser,LINE,0.2650822669,2188,641
org.mozilla.classfile.ClassFileWriter,LINE,0.2787579393,1417,451
org.mozilla.javascript.commonjs.module.Require,LINE,0.3235294118,136,76
org.mozilla.javascript.NativeObject,LINE,0.3314763231,359,120
org.mozilla.javascript.regexp.NativeRegExp,LINE,0.3377097009,1373,471
org.mozilla.javascript.NodeTransformer,LINE,0.3444816054,299,107
org.mozilla.javascript.NativeArray,LINE,0.3569958848,973,356
org.mozilla.javascript.NativeGlobal,LINE,0.3660477454,377,140
org.mozilla.javascript.optimizer.Optimizer,LINE,0.3766816143,223,90
org.mozilla.javascript.InterfaceAdapter,LINE,0.4107142857,56,4
org.mozilla.javascript.tools.idswitch.Main,LINE,0.414556962,316,136
org.mozilla.javascript.NativeString,LINE,0.421286031,451,190
org.mozilla.javascript.NativeIterator,LINE,0.4578313253,83,39
org.mozilla.javascript.tools.debugger.Dim,LINE,0.4637168142,565,167
org.mozilla.javascript.xmlimpl.XMLObjectImpl,LINE,0.4845070423,355,174
org.mozilla.javascript.Ref,LINE,0.5,4,0
org.mozilla.javascript.tools.debugger.ContextWindow,LINE,0.5079365079,189,97
org.mozilla.javascript.NativeError,LINE,0.5090909091,165,84
org.mozilla.javascript.serialize.ScriptableOutputStream,LINE,0.5102040816,49,27
org.mozilla.javascript.commonjs.module.provider.SoftCachingModuleScriptProvider,LINE,0.5111111111,45,24
org.mozilla.javascript.ScriptRuntime,LINE,0.5124933546,1881,1011
org.mozilla.javascript.typedarrays.NativeTypedArrayView,LINE,0.5221238938,226,126
org.mozilla.javascript.commonjs.module.provider.UrlModuleSourceProvider,LINE,0.5223880597,134,75
org.mozilla.javascript.optimizer.Codegen,LINE,0.5249569707,581,353
org.mozilla.javascript.json.JsonParser,LINE,0.5401785714,224,125
org.mozilla.javascript.TokenStream,LINE,0.5417457306,1054,585
org.mozilla.javascript.jdk15.VMBridge_jdk15,LINE,0.55,60,36
org.mozilla.javascript.regexp.RegExpImpl,LINE,0.5507246377,345,197
org.mozilla.javascript.IdScriptableObject,LINE,0.560546875,512,290
org.mozilla.javascript.NativeJavaClass,LINE,0.5737704918,122,66
