TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.MemberBox,LINE,0.13380281690140844,142,19
org.mozilla.javascript.Arguments,LINE,0.9310344827586207,203,177
org.mozilla.javascript.ArrowFunction,LINE,1.0,26,26
org.mozilla.javascript.json.JsonParser,LINE,0.4955357142857143,224,116
org.mozilla.javascript.xmlimpl.Namespace,LINE,0.8695652173913043,138,120
org.mozilla.javascript.xmlimpl.XMLLibImpl,LINE,0.0898876404494382,267,24
org.mozilla.javascript.xmlimpl.XmlNode,LINE,0.810880829015544,386,328
org.mozilla.javascript.xmlimpl.XMLCtor,LINE,0.5858585858585859,99,63
org.mozilla.javascript.xmlimpl.XMLList,LINE,0.6397694524495677,347,234
org.mozilla.javascript.xmlimpl.XMLName,LINE,0.8309178743961353,207,179
org.mozilla.javascript.xmlimpl.XMLObjectImpl,LINE,0.38873239436619716,355,148
org.mozilla.javascript.xmlimpl.XML,LINE,0.6584507042253521,284,193
org.mozilla.javascript.xmlimpl.XmlProcessor,LINE,0.7739130434782608,230,198
org.mozilla.javascript.xmlimpl.QName,LINE,0.8297872340425532,141,119
org.mozilla.javascript.JavaScriptException,LINE,0.7692307692307693,26,0
org.mozilla.javascript.NativeArray,LINE,0.4279835390946502,973,435
org.mozilla.javascript.NativeJSON,LINE,0.6454183266932271,251,164
org.mozilla.javascript.ast.ReturnStatement,LINE,1.0,29,29
org.mozilla.javascript.ast.Jump,LINE,0.8846153846153846,52,48
org.mozilla.javascript.ast.XmlLiteral,LINE,1.0,32,32
org.mozilla.javascript.ast.Loop,LINE,1.0,27,27
org.mozilla.javascript.ast.VariableDeclaration,LINE,1.0,46,46
org.mozilla.javascript.ast.FunctionNode,LINE,0.9558823529411765,144,142
org.mozilla.javascript.ast.Scope,LINE,1.0,92,92
org.mozilla.javascript.ast.ContinueStatement,LINE,1.0,41,41
org.mozilla.javascript.ast.SwitchStatement,LINE,1.0,65,65
org.mozilla.javascript.ast.XmlFragment,LINE,1.0,9,9
org.mozilla.javascript.ast.AstNode,LINE,0.9596774193548387,124,121
org.mozilla.javascript.ast.EmptyExpression,LINE,1.0,12,12
org.mozilla.javascript.ast.ArrayComprehensionLoop,LINE,1.0,17,17
