TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.MemberBox,LINE,0.13380281690140844,142,17
org.mozilla.javascript.Arguments,LINE,0.06403940886699508,203,14
org.mozilla.javascript.ArrowFunction,LINE,1.0,26,25
org.mozilla.javascript.json.JsonParser,LINE,0.5580357142857143,224,121
org.mozilla.javascript.xmlimpl.Namespace,LINE,0.8913043478260869,138,123
org.mozilla.javascript.xmlimpl.XMLLibImpl,LINE,0.0898876404494382,267,24
org.mozilla.javascript.xmlimpl.XmlNode,LINE,0.8730569948186528,386,349
org.mozilla.javascript.xmlimpl.XMLCtor,LINE,0.5858585858585859,99,63
org.mozilla.javascript.xmlimpl.XMLList,LINE,0.7089337175792507,347,256
org.mozilla.javascript.xmlimpl.XMLName,LINE,0.8164251207729468,207,173
org.mozilla.javascript.xmlimpl.XMLObjectImpl,LINE,0.4647887323943662,355,169
org.mozilla.javascript.xmlimpl.XML,LINE,0.823943661971831,284,244
org.mozilla.javascript.xmlimpl.XmlProcessor,LINE,0.7695652173913043,230,196
org.mozilla.javascript.xmlimpl.QName,LINE,0.8723404255319149,141,125
org.mozilla.javascript.Synchronizer,LINE,1.0,9,9
org.mozilla.javascript.JavaScriptException,LINE,0.7307692307692307,26,19
org.mozilla.javascript.NativeArray,LINE,0.34670781893004116,973,346
org.mozilla.javascript.NativeJSON,LINE,0.6613545816733067,251,172
org.mozilla.javascript.ast.ReturnStatement,LINE,1.0,29,29
org.mozilla.javascript.ast.Jump,LINE,0.8653846153846154,52,47
org.mozilla.javascript.ast.Loop,LINE,1.0,27,27
org.mozilla.javascript.ast.IfStatement,LINE,1.0,70,70
org.mozilla.javascript.ast.ContinueStatement,LINE,1.0,41,41
org.mozilla.javascript.ast.SwitchStatement,LINE,1.0,65,65
org.mozilla.javascript.ast.XmlFragment,LINE,1.0,9,9
org.mozilla.javascript.ast.Name,LINE,1.0,35,35
org.mozilla.javascript.ast.AstNode,LINE,0.9919354838709677,124,124
org.mozilla.javascript.ast.EmptyExpression,LINE,1.0,12,12
org.mozilla.javascript.ast.ArrayComprehensionLoop,LINE,1.0,17,17
