TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.tools.shell.ShellConsole,LINE,0.22962962962962963,135,34
org.mozilla.javascript.tools.shell.Runner,LINE,0.9285714285714286,14,14
org.mozilla.javascript.tools.shell.FlexibleCompletor,LINE,0.08333333333333333,36,4
org.mozilla.javascript.tools.shell.Global,LINE,0.5188679245283019,532,296
org.mozilla.javascript.tools.debugger.SwingGui,LINE,0.025157232704402517,477,12
org.mozilla.javascript.tools.debugger.ContextWindow,LINE,0.5079365079365079,189,97
org.mozilla.javascript.tools.debugger.MyTableModel,LINE,0.7954545454545454,44,38
org.mozilla.javascript.tools.debugger.FindFunction,LINE,0.0,76,0
org.mozilla.javascript.tools.debugger.FilePopupMenu,LINE,1.0,12,12
org.mozilla.javascript.tools.debugger.VariableModel,LINE,0.8,85,71
org.mozilla.javascript.tools.debugger.FileWindow,LINE,0.0,82,0
org.mozilla.javascript.tools.debugger.Main,LINE,0.12037037037037036,108,16
org.mozilla.javascript.tools.debugger.MessageDialogWrapper,LINE,0.95,20,20
org.mozilla.javascript.tools.debugger.EvalTextArea,LINE,0.6902654867256637,113,83
org.mozilla.javascript.tools.debugger.JSInternalConsole,LINE,0.8333333333333334,24,20
org.mozilla.javascript.typedarrays.NativeDataView,LINE,0.574585635359116,181,114
org.mozilla.javascript.typedarrays.Conversions,LINE,0.9459459459459459,37,35
org.mozilla.javascript.NativeBoolean,LINE,1.0,48,48
org.mozilla.javascript.NativeJavaClass,LINE,0.6639344262295082,122,79
org.mozilla.javascript.ResolvedOverload,LINE,0.92,25,23
org.mozilla.javascript.SecurityUtilities,LINE,0.6666666666666666,12,8
org.mozilla.javascript.SpecialRef,LINE,0.8181818181818182,44,36
org.mozilla.javascript.NativeSymbol,LINE,0.8142857142857143,140,114
org.mozilla.javascript.InterfaceAdapter,LINE,0.26785714285714285,56,4
org.mozilla.javascript.commonjs.module.RequireBuilder,LINE,0.7272727272727273,11,11
org.mozilla.javascript.commonjs.module.ModuleScope,LINE,1.0,8,8
org.mozilla.javascript.commonjs.module.ModuleScript,LINE,1.0,10,10
org.mozilla.javascript.commonjs.module.provider.UrlModuleSourceProvider,LINE,0.5223880597014925,134,76
org.mozilla.javascript.commonjs.module.provider.DefaultUrlConnectionExpiryCalculator,LINE,1.0,8,8
