TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.MemberBox,LINE,0.13380281690140844,142,19
org.mozilla.javascript.Arguments,LINE,0.9458128078817734,203,157
org.mozilla.javascript.ArrowFunction,LINE,1.0,26,26
org.mozilla.javascript.json.JsonParser,LINE,0.5223214285714286,224,120
org.mozilla.javascript.xmlimpl.Namespace,LINE,0.8840579710144928,138,122
org.mozilla.javascript.xmlimpl.XMLLibImpl,LINE,0.09363295880149813,267,25
org.mozilla.javascript.xmlimpl.XmlNode,LINE,0.8911917098445595,386,357
org.mozilla.javascript.xmlimpl.XMLCtor,LINE,0.5858585858585859,99,63
org.mozilla.javascript.xmlimpl.XMLList,LINE,0.723342939481268,347,262
org.mozilla.javascript.xmlimpl.XMLName,LINE,0.8405797101449275,207,178
org.mozilla.javascript.xmlimpl.XMLObjectImpl,LINE,0.4169014084507042,355,158
org.mozilla.javascript.xmlimpl.XML,LINE,0.6549295774647887,284,193
org.mozilla.javascript.xmlimpl.XmlProcessor,LINE,0.7739130434782608,230,198
org.mozilla.javascript.xmlimpl.QName,LINE,0.8581560283687943,141,122
org.mozilla.javascript.Synchronizer,LINE,1.0,9,9
org.mozilla.javascript.JavaScriptException,LINE,0.7692307692307693,26,20
org.mozilla.javascript.NativeArray,LINE,0.38065843621399176,973,390
org.mozilla.javascript.NativeJSON,LINE,0.6454183266932271,251,166
org.mozilla.javascript.ast.Jump,LINE,0.7884615384615384,52,46
org.mozilla.javascript.ast.XmlLiteral,LINE,1.0,32,32
org.mozilla.javascript.ast.Loop,LINE,1.0,27,27
org.mozilla.javascript.ast.IfStatement,LINE,0.7580645161290323,70,58
org.mozilla.javascript.ast.FunctionNode,LINE,0.9632352941176471,144,143
org.mozilla.javascript.ast.ContinueStatement,LINE,1.0,41,41
org.mozilla.javascript.ast.SwitchStatement,LINE,1.0,65,65
org.mozilla.javascript.ast.XmlFragment,LINE,1.0,9,9
org.mozilla.javascript.ast.Name,LINE,1.0,35,35
org.mozilla.javascript.ast.AstNode,LINE,0.9919354838709677,124,123
org.mozilla.javascript.ast.UnaryExpression,LINE,1.0,46,46
org.mozilla.javascript.ast.EmptyExpression,LINE,1.0,12,12
org.mozilla.javascript.ast.ArrayComprehensionLoop,LINE,1.0,17,17
org.mozilla.javascript.ast.WhileLoop,LINE,1.0,28,28
org.mozilla.javascript.ast.RegExpLiteral,LINE,1.0,19,19
org.mozilla.javascript.ast.NewExpression,LINE,1.0,34,34
org.mozilla.javascript.ast.EmptyStatement,LINE,1.0,14,14
org.mozilla.javascript.ast.ParseProblem,LINE,1.0,29,29
org.mozilla.javascript.ast.XmlMemberGet,LINE,0.96,30,30
org.mozilla.javascript.ast.Symbol,LINE,1.0,35,35
org.mozilla.javascript.ast.ErrorNode,LINE,1.0,15,15
org.mozilla.javascript.ast.DoLoop,LINE,0.8928571428571429,32,31
org.mozilla.javascript.ast.FunctionCall,LINE,1.0,58,58
org.mozilla.javascript.ast.Yield,LINE,1.0,23,23
org.mozilla.javascript.ast.Comment,LINE,1.0,15,15
org.mozilla.javascript.ast.XmlString,LINE,1.0,15,15
org.mozilla.javascript.ast.ElementGet,LINE,1.0,52,52
org.mozilla.javascript.ast.Block,LINE,1.0,25,25
org.mozilla.javascript.ast.VariableInitializer,LINE,1.0,37,37
org.mozilla.javascript.ast.XmlRef,LINE,1.0,24,24
org.mozilla.javascript.ast.ExpressionStatement,LINE,1.0,31,31
org.mozilla.javascript.ast.GeneratorExpressionLoop,LINE,1.0,17,17
org.mozilla.javascript.ast.ForLoop,LINE,0.9024390243902439,43,41
org.mozilla.javascript.ast.LetNode,LINE,1.0,48,48
org.mozilla.javascript.ast.WithStatement,LINE,1.0,48,48
org.mozilla.javascript.ast.XmlDotQuery,LINE,1.0,22,22
org.mozilla.javascript.ast.ErrorCollector,LINE,1.0,15,15
org.mozilla.javascript.ast.XmlExpression,LINE,1.0,21,21
org.mozilla.javascript.ast.Assignment,LINE,1.0,12,12
org.mozilla.javascript.ast.BreakStatement,LINE,1.0,33,33
org.mozilla.javascript.NativeString,LINE,0.43680709534368073,451,191
org.mozilla.javascript.Interpreter,LINE,0.06213211249182472,1529,88
org.mozilla.javascript.v8dtoa.DiyFp,LINE,1.0,55,55
org.mozilla.javascript.v8dtoa.FastDtoaBuilder,LINE,1.0,57,57
org.mozilla.javascript.v8dtoa.CachedPowers,LINE,1.0,14,14
org.mozilla.javascript.v8dtoa.DoubleConversion,LINE,0.8095238095238095,21,17
org.mozilla.javascript.v8dtoa.DoubleHelper,LINE,1.0,37,37
org.mozilla.javascript.v8dtoa.FastDtoa,LINE,1.0,126,126
org.mozilla.javascript.regexp.REGlobalData,LINE,0.8571428571428571,7,7
org.mozilla.javascript.regexp.RECharSet,LINE,1.0,6,6
org.mozilla.javascript.regexp.RENode,LINE,1.0,3,3
org.mozilla.javascript.regexp.NativeRegExp,LINE,0.2662290299051787,1373,390
org.mozilla.javascript.regexp.SubString,LINE,1.0,14,14
org.mozilla.javascript.regexp.CompilerState,LINE,1.0,12,12
org.mozilla.javascript.regexp.REProgState,LINE,1.0,9,9
org.mozilla.javascript.regexp.RegExpImpl,LINE,0.42318840579710143,345,149
org.mozilla.javascript.regexp.GlobData,LINE,1.0,2,2
org.mozilla.javascript.regexp.REBackTrackData,LINE,1.0,10,10
org.mozilla.javascript.regexp.RECompiled,LINE,1.0,4,4
org.mozilla.javascript.tools.jsc.Main,LINE,0.9068627450980392,204,199
org.mozilla.javascript.tools.shell.ShellContextFactory,LINE,1.0,40,35
org.mozilla.javascript.tools.shell.ConsoleWriter,LINE,0.9545454545454546,22,21
org.mozilla.javascript.tools.shell.ShellLine,LINE,1.0,4,4
org.mozilla.javascript.tools.shell.ConsoleTextArea,LINE,0.9365079365079365,126,123
org.mozilla.javascript.tools.shell.Main,LINE,0.712082262210797,389,306
org.mozilla.javascript.tools.shell.SecurityProxy,LINE,1.0,1,1
org.mozilla.javascript.tools.shell.JSConsole,LINE,0.00909090909090909,110,2
org.mozilla.javascript.tools.shell.ConsoleWrite,LINE,1.0,6,6
org.mozilla.javascript.tools.shell.JavaPolicySecurity,LINE,0.6666666666666666,78,52
org.mozilla.javascript.tools.shell.ShellConsole,LINE,0.22962962962962963,135,34
org.mozilla.javascript.tools.shell.Runner,LINE,0.9285714285714286,14,14
org.mozilla.javascript.tools.shell.FlexibleCompletor,LINE,0.08333333333333333,36,4
org.mozilla.javascript.tools.shell.Global,LINE,0.5566037735849056,532,298
org.mozilla.javascript.tools.debugger.SwingGui,LINE,0.025157232704402517,477,12
org.mozilla.javascript.tools.debugger.FileTextArea,LINE,0.8805970149253731,67,66
org.mozilla.javascript.tools.debugger.ContextWindow,LINE,0.5079365079365079,189,97
org.mozilla.javascript.tools.debugger.MyTableModel,LINE,0.7954545454545454,44,38
org.mozilla.javascript.tools.debugger.FindFunction,LINE,0.0,76,0
org.mozilla.javascript.tools.debugger.FilePopupMenu,LINE,1.0,12,12
org.mozilla.javascript.tools.debugger.VariableModel,LINE,0.8,85,70
org.mozilla.javascript.tools.debugger.FileWindow,LINE,0.0,82,0
org.mozilla.javascript.tools.debugger.Main,LINE,0.12037037037037036,108,16
org.mozilla.javascript.tools.debugger.MessageDialogWrapper,LINE,0.95,20,20
org.mozilla.javascript.tools.debugger.EvalTextArea,LINE,0.6902654867256637,113,83
org.mozilla.javascript.tools.debugger.JSInternalConsole,LINE,0.8333333333333334,24,20
org.mozilla.javascript.typedarrays.NativeUint32Array,LINE,1.0,29,29
org.mozilla.javascript.typedarrays.NativeDataView,LINE,0.6519337016574586,181,131
org.mozilla.javascript.typedarrays.Conversions,LINE,0.9459459459459459,37,35
org.mozilla.javascript.NativeBoolean,LINE,0.9375,48,44
org.mozilla.javascript.NativeJavaClass,LINE,0.7622950819672131,122,84
org.mozilla.javascript.ResolvedOverload,LINE,0.92,25,23
org.mozilla.javascript.SecurityUtilities,LINE,0.6666666666666666,12,8
org.mozilla.javascript.SpecialRef,LINE,0.8409090909090909,44,38
org.mozilla.javascript.NativeSymbol,LINE,0.8,140,110
org.mozilla.javascript.InterfaceAdapter,LINE,0.26785714285714285,56,7
org.mozilla.javascript.commonjs.module.RequireBuilder,LINE,1.0,11,11
org.mozilla.javascript.commonjs.module.ModuleScope,LINE,1.0,8,8
org.mozilla.javascript.commonjs.module.ModuleScript,LINE,1.0,10,10
org.mozilla.javascript.commonjs.module.provider.UrlModuleSourceProvider,LINE,0.5223880597014925,134,75
org.mozilla.javascript.commonjs.module.provider.DefaultUrlConnectionExpiryCalculator,LINE,1.0,8,8
org.mozilla.javascript.commonjs.module.provider.ModuleSourceProviderBase,LINE,0.7272727272727273,33,27
org.mozilla.javascript.commonjs.module.provider.ModuleSource,LINE,1.0,12,12
org.mozilla.javascript.commonjs.module.provider.SoftCachingModuleScriptProvider,LINE,0.5333333333333333,45,24
org.mozilla.javascript.commonjs.module.provider.StrongCachingModuleScriptProvider,LINE,1.0,7,7
org.mozilla.javascript.commonjs.module.provider.MultiModuleScriptProvider,LINE,0.9166666666666666,12,11
org.mozilla.javascript.commonjs.module.Require,LINE,0.47058823529411764,136,114
org.mozilla.javascript.ContinuationPending,LINE,1.0,10,10
org.mozilla.javascript.JavaAdapter,LINE,0.6981818181818182,550,393
org.mozilla.javascript.Kit,LINE,0.9182389937106918,159,150
org.mozilla.javascript.Decompiler,LINE,0.7038961038961039,385,276
org.mozilla.javascript.JavaMembers,LINE,0.664367816091954,435,335
org.mozilla.javascript.Icode,LINE,1.0,7,7
org.mozilla.javascript.FieldAndMethods,LINE,0.0,18,0
org.mozilla.javascript.UintMap,LINE,0.7892156862745098,204,163
org.mozilla.javascript.Undefined,LINE,0.7,10,7
org.mozilla.javascript.HashSlotMap,LINE,0.9375,48,44
org.mozilla.javascript.ConsString,LINE,0.8,35,28
org.mozilla.javascript.WrappedException,LINE,0.8461538461538461,13,11
org.mozilla.javascript.NativeJavaArray,LINE,0.09090909090909091,55,5
org.mozilla.javascript.VMBridge,LINE,0.1,10,1
org.mozilla.javascript.IdFunctionObject,LINE,1.0,64,64
org.mozilla.javascript.Token,LINE,1.0,204,204
org.mozilla.javascript.ObjArray,LINE,0.9152542372881356,177,162
org.mozilla.javascript.NativeMath,LINE,0.03501945525291829,257,9
org.mozilla.javascript.BeanProperty,LINE,1.0,5,5
org.mozilla.javascript.SecurityController,LINE,0.8695652173913043,23,20
org.mozilla.javascript.PolicySecurityController,LINE,0.6851851851851852,54,19
org.mozilla.javascript.NativeArrayIterator,LINE,1.0,15,11
org.mozilla.javascript.ContextFactory,LINE,0.9732142857142857,112,109
org.mozilla.javascript.WrapFactory,LINE,0.8787878787878788,33,28
org.mozilla.javascript.NativeNumber,LINE,0.8333333333333334,150,125
org.mozilla.javascript.UniqueTag,LINE,0.7058823529411765,17,8
org.mozilla.javascript.Context,LINE,0.8449905482041588,529,445
org.mozilla.javascript.StackStyle,LINE,1.0,0,0
org.mozilla.javascript.Ref,LINE,0.5,4,0
